"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"DCAF1",0.282501008318821,7.05607078771916,10.8621255836953,3.75100775186722e-21,1.05967818599594e-19,37.3867135604803,"Not Sig"
"SLC4A1AP",0.452631092445333,7.64820578257317,10.858216876545,3.84649198328939e-21,1.08451387158768e-19,37.3618306111352,"Not Sig"
"STIL",0.846412011770321,7.77223551365225,10.8563233097822,3.8936173387282e-21,1.09564403030656e-19,37.3497766491162,"Not Sig"
"MAD2L1",0.973537759437641,7.569459992448,10.8494261127768,4.07019127044638e-21,1.14308528561968e-19,37.3058738543949,"Not Sig"
"MT1A",-2.43168600436984,13.1583437016928,-10.8431343747161,4.23822319329467e-21,1.18794659095029e-19,37.2658291097904,"Down"
"POLR2E",-0.651802011455157,7.76008548387269,-10.8398442570256,4.32882945722307e-21,1.21097313116809e-19,37.2448902136127,"Not Sig"
"H2AFZ",1.42759525873002,11.5757337021744,10.8275522094918,4.68477046353299e-21,1.30799156626088e-19,37.1666710052727,"Up"
"ACADVL",-1.02556033655652,10.0829062268553,-10.8261243106815,4.72796685194233e-21,1.31748383697218e-19,37.1575856976152,"Down"
"C19orf66",-1.29166742472685,9.93158943533003,-10.824128173337,4.78902026778658e-21,1.33190557855354e-19,37.1448851962916,"Down"
"TTC13",0.795317578969055,8.56838562710684,10.819504255891,4.93348466218731e-21,1.36942443442847e-19,37.1154668851509,"Not Sig"
"MIR607",0.402389867970234,7.15888039019008,10.8165648597843,5.02757186425764e-21,1.39284162111726e-19,37.096766967103,"Not Sig"
"MCM7",1.07207529008811,10.5623373452459,10.8136687764737,5.12202321336446e-21,1.41626908272238e-19,37.0783434527653,"Up"
"TUBA1C",1.51567627476241,11.3556998683308,10.7998993905901,5.59588056757807e-21,1.54431208804279e-19,36.9907607826049,"Up"
"PDCD5",0.801766729020686,10.0357118332808,10.7974891615379,5.68321331230073e-21,1.56539738984776e-19,36.975432073759,"Not Sig"
"NACA",0.672757895917616,12.6354242707367,10.7944098886636,5.79676939457611e-21,1.59361090285055e-19,36.9558492083213,"Not Sig"
"BARD1",0.873058227779661,7.84498068410382,10.7935042157628,5.83059717540926e-21,1.59983991079285e-19,36.9500896990156,"Not Sig"
"SNX27",0.818619460494931,10.1832191727653,10.7854545408395,6.14004787953551e-21,1.68152783515463e-19,36.8989025405116,"Not Sig"
"LRRC42",0.890432890527229,9.35207045318275,10.7841568099468,6.19144741650048e-21,1.69236834630795e-19,36.8906510112244,"Not Sig"
"C9",-3.27950508491884,10.6559597504927,-10.7824111133009,6.26126735859115e-21,1.70819299765907e-19,36.8795513978622,"Down"
"TCF25",-0.791515920447448,10.7732418587329,-10.7815206691744,6.29718302985607e-21,1.71472533339598e-19,36.8738898335264,"Not Sig"
"DTL",0.880316176241898,7.49668473408535,10.7804547757691,6.34044572791805e-21,1.72322968047382e-19,36.867112846703,"Not Sig"
"SUOX",-0.856000839587402,10.6107425496519,-10.7792505604654,6.38967948916906e-21,1.7333215780941e-19,36.8594565458978,"Not Sig"
"TRIP4",0.600433890017661,8.1816604379571,10.7773268687656,6.46912115435455e-21,1.75155429666957e-19,36.8472261854441,"Not Sig"
"ZNF200",0.590980011968273,7.52373432769759,10.7695011687494,6.80258115814142e-21,1.83635995190846e-19,36.797476260322,"Not Sig"
"SEMA6D",-0.568092248536971,6.96542857527689,-10.7693776152134,6.80798111054522e-21,1.83635995190846e-19,36.7966908507562,"Not Sig"
"FAM120AOS",0.680431316465833,8.24748360564566,10.7652971016042,6.98874455102437e-21,1.88157496624665e-19,36.7707525887236,"Not Sig"
"TMEM107",-1.46995545644025,8.48795018940589,-10.7608895624665,7.18937734903768e-21,1.93195969550219e-19,36.7427375031896,"Down"
"EIF4A3",0.73297915666881,10.9232961007631,10.7521888061708,7.60246099787523e-21,2.03913949199564e-19,36.6874399551137,"Not Sig"
"RBBP7",0.879352090562776,9.33336527594064,10.751798544639,7.62153426844855e-21,2.04043430517736e-19,36.6849598391034,"Not Sig"
"OGDHL",-1.74127321975003,9.75691556968071,-10.7508053578208,7.67028993419251e-21,2.04965602103431e-19,36.6786481990435,"Down"
"RBM34",0.742010025285467,9.16511871962026,10.7493541430397,7.74209023886291e-21,2.06498991603787e-19,36.6694260066812,"Not Sig"
"MFSD2A",-1.37788186237213,7.64833830710539,-10.7477277470019,7.82335485230946e-21,2.08278646003027e-19,36.6590908346312,"Down"
"IPO9",0.704880392805993,8.38277087393887,10.7455721057629,7.93237652158624e-21,2.10789292984563e-19,36.6453929262996,"Not Sig"
"BRPF3",0.778048419330059,9.44531422180295,10.7442325858049,8.00088495010434e-21,2.12216065074712e-19,36.636881264664,"Not Sig"
"C1orf50",-0.708310951433933,9.67578828234847,-10.742162211768,8.10793511479106e-21,2.1465795683762e-19,36.6237259373305,"Not Sig"
"TPBGL",-0.314071949221827,6.86989091059916,-10.7409227739657,8.1727036067645e-21,2.15973494021564e-19,36.6158506643288,"Not Sig"
"CYFIP2",-1.76336811987617,9.85750020801838,-10.7328218041141,8.60892941354326e-21,2.27082313057422e-19,36.5643818633751,"Down"
"SF3B1",0.632865642622978,7.31673293687561,10.7263178192142,8.97590969911189e-21,2.36327122463933e-19,36.5230644172987,"Not Sig"
"KIF5B",0.595357370912881,7.77636584165194,10.723471555818,9.14137687407955e-21,2.40242093518241e-19,36.5049845630712,"Not Sig"
"VRK1",0.626815230291882,7.43684995061902,10.7224204815863,9.2032472569401e-21,2.41425110734713e-19,36.4983082148587,"Not Sig"
"AVL9",0.509609721033215,7.28119082595659,10.7212594125698,9.27207804244223e-21,2.42786058138757e-19,36.4909333251081,"Not Sig"
"ANAPC7",0.467188659107444,6.97863502522788,10.719994786172,9.34763231078699e-21,2.44317769320077e-19,36.4829008228267,"Not Sig"
"DUT",0.915324393743803,7.76493704511299,10.7188308745349,9.41771203051361e-21,2.45701073612106e-19,36.4755081799601,"Not Sig"
"RAD51C",0.958111280816269,8.4610489567605,10.7184133774516,9.44297725155463e-21,2.45912296680031e-19,36.4728564617938,"Not Sig"
"GPAA1",1.13142796235481,9.56122319232762,10.7176450941246,9.48964744552484e-21,2.4667916581171e-19,36.4679767859041,"Up"
"AK6",0.717496633164312,7.76264011044424,10.7067458531734,1.01770620722014e-20,2.64068949384312e-19,36.3987581679814,"Not Sig"
"SRD5A1",-0.983110836410233,8.44870565774125,-10.701248547688,1.05423993595438e-20,2.73053862616177e-19,36.3638508849008,"Not Sig"
"PDE7B",-0.889945939585963,7.56689825099996,-10.6997811600222,1.06421111316987e-20,2.75138912886861e-19,36.3545336884137,"Not Sig"
"DCAF7",0.730675172431598,9.85484835424107,10.691807797786,1.12005895883182e-20,2.89055936348615e-19,36.3039108108716,"Not Sig"
"MAPK9",0.715738715646287,8.20628437197173,10.6914870882603,1.12236545987296e-20,2.89130224492095e-19,36.3018747707415,"Not Sig"
"F11",-1.31416549882089,9.00487091054679,-10.6869058655407,1.15583493947249e-20,2.97217663160943e-19,36.2727918783811,"Down"
"ZNF473",0.351436491536708,7.17766891551034,10.6786646346318,1.21856956675946e-20,3.12788026965874e-19,36.2204799992126,"Not Sig"
"UQCRB",1.13124239501455,10.5148070231134,10.674971475773,1.24777412513593e-20,3.1971142744762e-19,36.1970397917403,"Up"
"XPR1",0.918497327327959,9.40879760809782,10.673794942749,1.25722368280224e-20,3.2155740729958e-19,36.1895727381729,"Not Sig"
"SEC22C",0.715104287788179,8.61585203645492,10.6691725228735,1.2950457761472e-20,3.3064065332899e-19,36.1602372929588,"Not Sig"
"ALYREF",0.817019789623613,7.22808215272772,10.6592284900511,1.38030181544109e-20,3.51780478693288e-19,36.0971370867463,"Not Sig"
"SYT9",-0.43660362949067,6.99919258599882,-10.654066379374,1.42674398860435e-20,3.62970766408173e-19,36.0643850571751,"Not Sig"
"TIAL1",0.624363382330455,7.73963008039871,10.6413831510347,1.54757816896146e-20,3.93013512660195e-19,35.9839264273062,"Not Sig"
"RRP15",0.786986937331937,8.43608295125391,10.640497031925,1.55639211768041e-20,3.94552288522771e-19,35.9783058236247,"Not Sig"
"CEP41",0.617493431547308,7.39502159578402,10.6371705297458,1.5899288807901e-20,4.02341896811954e-19,35.9572067936237,"Not Sig"
"ALPL",-1.84650988144429,9.91115439045671,-10.6363051043137,1.59877135426792e-20,4.03865998362953e-19,35.9517178570708,"Down"
"FCHSD2",-0.59059807657114,8.38529838244872,-10.6327694719757,1.6354090618084e-20,4.1239373225848e-19,35.9292940832048,"Not Sig"
"NDUFA1",0.794898831929114,13.0463291665265,10.6234696119329,1.73582569514491e-20,4.36946070853438e-19,35.8703190142902,"Not Sig"
"CKAP5",0.820705673682438,9.80487263704433,10.6222535705931,1.74940281632199e-20,4.39591167336488e-19,35.8626082102526,"Not Sig"
"RBM12",0.743219536354701,8.01987293281568,10.6209716515072,1.76383015621648e-20,4.42440268432375e-19,35.8544798630433,"Not Sig"
"SNRPC",0.802796768084482,8.98705189004843,10.6161427371724,1.81925062346332e-20,4.55544172724915e-19,35.8238625280358,"Not Sig"
"SCAMP3",0.856307706295132,10.7113325466521,10.615722902314,1.82415026862441e-20,4.55973896989659e-19,35.8212007247534,"Not Sig"
"HBA2",-2.00109427218575,10.9376695477177,-10.614080135447,1.84344886111504e-20,4.59995087765693e-19,35.8107855788033,"Down"
"ZKSCAN5",0.363201843476926,7.18948938098926,10.6092944995207,1.90083708999083e-20,4.72819795219264e-19,35.7804463874034,"Not Sig"
"RSRC1",0.672378501132474,7.5624301365223,10.6092444461311,1.90144663859733e-20,4.72819795219264e-19,35.7801290809174,"Not Sig"
"BOLA2",1.16891520406619,10.2737426921568,10.6024576169395,1.98592781849654e-20,4.9293795630856e-19,35.7371075748279,"Up"
"IARS2",0.85039856041713,11.0153327878778,10.6021978205471,1.98923506769774e-20,4.9293795630856e-19,35.7354608380606,"Not Sig"
