"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","19/1487","48/18496",0.395833333333333,4.92355973996862,8.04765786676122,1.69663459936455e-09,8.9981675266584e-08,8.9981675266584e-08,"OGDHL/HAO1/ALDH3A2/ALDH6A1/ALDH4A1/ALDH1B1/ADH4/ALDH3A1/ALDH1L1/ALDH8A1/ALDH7A1/DHTKD1/AKR1C3/ALDH5A1/ALDH2/AOX1/AKR1C4/CYP27A1/AKR1B10",19
"GO:0016769","transferase activity, transferring nitrogenous groups","14/1487","26/18496",0.538461538461538,6.69763592157674,8.59589658942904,1.70416630801184e-09,8.9981675266584e-08,8.9981675266584e-08,"GPT2/AADAT/AGXT/BCAT1/ABAT/AGXT2/ETNPPL/GOT2/BCAT2/GOT1/TAT/PSAT1/GPT/OAT",14
"GO:0070330","aromatase activity","14/1487","26/18496",0.538461538461538,6.69763592157674,8.59589658942904,1.70416630801184e-09,8.9981675266584e-08,8.9981675266584e-08,"CYP4F2/CYP2E1/CYP2C18/CYP1A1/CYP2A7/CYP4A11/CYP2D7/CYP4F12/CYP4F11/CYP4F3/CYP1A2/CYP3A4/CYP2C9/CYP2C8",14
"GO:0051287","NAD binding","20/1487","53/18496",0.377358490566038,4.69376102320742,7.96222062861919,1.71939506878823e-09,8.9981675266584e-08,8.9981675266584e-08,"HPGD/ME1/ALDH1B1/EHHADH/UGDH/ADH4/HSD17B8/RNLS/ALDH2/GPD1/GRHPR/CRYL1/HADH/AOX1/QDPR/NNT/GPD1L/PHGDH/IDH2/GLUD1",20
"GO:0005342","organic acid transmembrane transporter activity","38/1487","165/18496",0.23030303030303,2.86461657598174,7.11347313350869,2.29129661640467e-09,1.15114742008171e-07,1.15114742008171e-07,"SLC43A3/ABCB11/SLC1A2/ABCC2/SLC38A4/SLC7A2/MFSD2A/SLC26A6/SLC29A4/MPC1/SLC51B/SLC23A3/SLC38A6/SLC26A3/SLC27A5/SLC7A10/SLC47A1/SLC7A5/ABCC4/SLC6A12/SLC10A1/SLC16A2/SLC6A1/SLC13A5/SLC38A1/SLCO1B1/AKR1C4/SLC38A2/SLC25A15/SLC27A2/SLC7A1/SLC16A10/CEACAM1/ABCC3/SLC22A7/SLC38A3/SLC1A1/SLCO1B3",38
"GO:0008392","arachidonic acid epoxygenase activity","11/1487","16/18496",0.6875,8.55144586415602,8.93474953785277,2.61911839465994e-09,1.2201751426535e-07,1.2201751426535e-07,"CYP4F2/CYP2E1/CYP2C18/CYP2A7/CYP4A11/CYP4F12/CYP2C9/CYP2B6/CYP2J2/CYP2A6/CYP2C8",11
"GO:0016229","steroid dehydrogenase activity","16/1487","35/18496",0.457142857142857,5.68615621097127,8.20477043164616,2.62298796589527e-09,1.2201751426535e-07,1.2201751426535e-07,"HSD17B6/SRD5A2/AKR1D1/HSD17B13/AKR1B15/RDH5/HSD17B8/AKR1C3/HSD17B2/DHRS1/AKR1C4/SRD5A1/HSD17B14/HSD3B7/RDH16/HSD11B1",16
"GO:0046943","carboxylic acid transmembrane transporter activity","37/1487","164/18496",0.225609756097561,2.80623944100907,6.86966536992124,6.7391440331545e-09,3.02298746630073e-07,3.02298746630073e-07,"SLC43A3/ABCB11/SLC1A2/ABCC2/SLC38A4/SLC7A2/MFSD2A/SLC26A6/MPC1/SLC51B/SLC23A3/SLC38A6/SLC26A3/SLC27A5/SLC7A10/SLC47A1/SLC7A5/ABCC4/SLC6A12/SLC10A1/SLC16A2/SLC6A1/SLC13A5/SLC38A1/SLCO1B1/AKR1C4/SLC38A2/SLC25A15/SLC27A2/SLC7A1/SLC16A10/CEACAM1/ABCC3/SLC22A7/SLC38A3/SLC1A1/SLCO1B3",37
"GO:0008395","steroid hydroxylase activity","13/1487","26/18496",0.5,6.21923335574983,7.87414127888129,2.14147567511115e-08,9.27480499289518e-07,9.27480499289518e-07,"CYP1A1/CYP8B1/CYP7A1/CYP1A2/CYP11A1/CYP39A1/CYP3A4/CYP2C9/CYP17A1/CYP27A1/CYP2B6/CH25H/CYP2C8",13
"GO:0030414","peptidase inhibitor activity","37/1487","175/18496",0.211428571428571,2.62984724757421,6.40522812426323,4.1970688816666e-08,1.75717283845775e-06,1.75717283845775e-06,"SERPINE1/SERPINH1/PTTG1/GPC3/PAPLN/FETUB/SERPINA7/SERPING1/CST1/SPP2/SERPINA3/PI3/PCSK1N/SERPINA5/SERPINA4/SERPINF2/HRG/AHSG/ITIH1/KNG1/SERPIND1/SERPINA11/ITIH2/C5/SPOCK1/SERPINF1/LPA/BST2/SERPINC1/SPINK1/FURIN/GBP2/AMBP/PROS1/A2M/SERPINA10/SLCO1B3",37
