MODULE	GENE
grey	TRIM50
grey	ZNF467
grey	HIST1H4K
grey	HMGCR
grey	PRR15L
grey	GK
grey	MXD4
grey	FAM60A
grey	ABHD17C
grey	ISM1
grey	CHRDL2
grey	FAM134A
grey	VASN
grey	FOXA1
grey	CTSH
grey	SLC2A12
grey	PLCH2
grey	STK26
grey	NEDD9
grey	IRS1
grey	F13A1
grey	MAT2A
grey	ZBTB46
grey	CHST13
grey	SVIL
grey	CORO2A
grey	ANKS1B
grey	EPHB4
grey	RINL
grey	LAMA4
grey	PLEKHB1
grey	WWP1
grey	UST
grey	GSTT2B
grey	GRPR
grey	ANXA4
grey	DGAT1
grey	MAFB
grey	ENOSF1
grey	WASF3
grey	TMEM74B
grey	KCNB1
grey	PTGFR
grey	WWC1
grey	LGALS8
grey	CARD8
grey	TEX30
grey	ELL2
grey	C12orf56
grey	BSG
grey	RIMS2
grey	ARHGEF35
